run 0,run 1,run 2
-29.1083,-27.1058,-32.3396
-11.4169,-21.479,-26.3073
-11.4169,-19.4641,-17.8547
-11.4169,-11.4169,-21.8721
-11.4169,-14.2303,-18.6656
-17.0438,-11.4169,-17.0438
-15.8398,-15.0413,-15.8398
-11.4169,-11.4169,-11.4169
-11.4169,-15.4343,-11.4169
-16.6507,-11.4169,-16.6507
-15.0413,-11.4169,-15.0413
-11.4169,-11.4169,-11.4169
-15.0413,-11.4169,-15.0413
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-15.0413,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-14.2303,-11.4169
-11.4169,-11.4169,-11.4169
-14.2303,-11.4169,-14.2303
-15.4343,-11.4169,-15.4343
-18.2601,-11.4169,-18.2601
-17.0562,-14.2303,-17.0562
-15.0413,-11.4169,-15.0413
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-21.0736,-11.4169,-21.0736
-14.2303,-11.4169,-14.2303
-15.4343,-17.4492,-15.4343
-17.4492,-11.4169,-17.4492
-20.2751,-11.4169,-20.2751
-23.4939,-14.2303,-23.4939
-11.4169,-14.2303,-11.4169
-17.0562,-17.4492,-17.0562
-15.0413,-11.4169,-15.0413
-17.0562,-11.4169,-17.0562
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-18.2477,-14.2303,-18.2477
-18.6532,-11.4169,-18.6532
-11.4169,-15.0413,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-15.0413,-11.4169
-11.4169,-16.6507,-11.4169
-16.2328,-15.8398,-16.2328
-17.8423,-14.2303,-17.8423
-17.0313,-11.4169,-17.0313
-17.0313,-11.4169,-17.0313
-19.0462,-11.4169,-19.0462
-18.2353,-11.4169,-18.2353
-14.611,-11.4169,-14.611
-20.6557,-11.4169,-20.6557
-18.6532,-16.6507,-18.6532
-24.2924,-22.2775,-24.2924
-11.4169,-19.4517,-11.4169
-11.4169,-15.4343,-11.4169
-11.4169,-17.0438,-11.4169
-15.4343,-15.4343,-15.4343
-16.6383,-15.4343,-16.6383
-19.8572,-17.4492,-19.8572
-11.4169,-15.4343,-11.4169
-11.4169,-14.2303,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-14.2303,-11.4169,-14.2303
-11.4169,-14.2303,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-16.6507,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-17.8547,-11.4169,-17.8547
-11.4169,-11.4169,-11.4169
-14.2303,-11.4169,-14.2303
-14.2303,-15.8398,-14.2303
-11.4169,-20.6681,-11.4169
-11.4169,-19.4517,-11.4169
-16.6383,-14.611,-16.6383
-16.2328,-14.611,-16.2328
-16.2328,-14.611,-16.2328
-16.2328,-18.2353,-16.2328
-15.4343,-17.0313,-15.4343
-14.2303,-17.0313,-14.2303
-11.4169,-17.0313,-11.4169
-14.2303,-19.8572,-14.2303
-11.4169,-19.0462,-11.4169
-11.4169,-16.6259,-11.4169
-11.4169,-18.2353,-11.4169
-11.4169,-17.0313,-11.4169
-14.2303,-22.6706,-14.2303
-11.4169,-19.4517,-11.4169
-11.4169,-17.8547,-11.4169
-11.4169,-17.8547,-11.4169
-11.4169,-21.0736,-11.4169
-11.4169,-17.8547,-11.4169
-11.4169,-17.8547,-11.4169
-11.4169,-18.6532,-11.4169
-14.2303,-17.4368,-14.2303
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-14.2303,-14.2303,-14.2303
-14.2303,-14.2303,-14.2303
-15.4343,-15.4343,-15.4343
-15.8398,-15.8398,-15.8398
-14.2303,-14.2303,-14.2303
-11.4169,-11.4169,-11.4169
-14.2303,-14.2303,-14.2303
-14.2303,-14.2303,-14.2303
-15.4343,-15.4343,-15.4343
-16.2328,-16.2328,-16.2328
-17.4492,-17.4492,-17.4492
-22.2775,-22.2775,-22.2775
-15.0413,-15.0413,-15.0413
-11.4169,-11.4169,-11.4169
-14.2303,-14.2303,-14.2303
-14.2303,-14.2303,-14.2303
-15.8398,-15.8398,-15.8398
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-14.2303,-14.2303,-14.2303
-11.4169,-11.4169,-11.4169
-15.0413,-15.0413,-15.0413
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-15.4343,-15.4343,-15.4343
-16.6383,-16.6383,-16.6383
-16.6383,-16.6383,-16.6383
-15.4343,-15.4343,-15.4343
-16.6383,-16.6383,-16.6383
-16.2328,-16.2328,-16.2328
-16.6259,-16.6259,-16.6259
-21.8596,-21.8596,-21.8596
-18.6532,-18.6532,-18.6532
-15.4343,-15.4343,-15.4343
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-14.2303,-14.2303,-14.2303
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-15.0413,-15.0413,-15.0413
-11.4169,-11.4169,-11.4169
-14.2303,-14.2303,-14.2303
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
