p_camera_given_slow, p_radar_given_slow, pd_marginal_traffic
0,0,0.627176
0,0,0.118896
0,0,0.108606
0,0,0.108399
0,0,0.108395
0,0,0.108395
0,0,0.108395
0,0,0.108395
0,0,0.108395
0,0,0.108395
60,90,38.749
60,90,88.6502
60,90,98.4992
60,90,99.4275
60,90,99.5068
60,90,99.5136
60,90,99.5141
60,90,99.5142
60,90,99.5142
70,90,99.6662
70,90,99.675
70,90,99.6755
70,90,99.6756
70,90,99.6756
70,90,99.6756
70,90,99.6756
80,90,99.7868
80,90,99.791
80,90,99.7912
80,100,99.9442
80,100,99.9458
80,100,99.9458
80,100,99.9458
90,100,99.9458
90,100,99.9458
90,100,99.9458
90,100,99.9458
90,100,99.9458
90,100,99.9458
90,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
100,100,99.9458
