p_camera_given_slow, p_radar_given_slow, pd_marginal_traffic
0,0,1.9802
0,0,1.9802
0,0,1.9802
0,0,1.9802
0,0,1.9802
0,0,1.9802
0,0,1.9802
0,0,1.9802
0,0,1.9802
0,0,1.9802
60,90,92.1739
60,90,92.1739
60,90,92.1739
60,90,92.1739
60,90,92.1739
60,90,92.1739
60,90,92.1739
60,90,92.1739
60,90,92.1739
70,90,94.4954
70,90,94.4954
70,90,94.4954
70,90,94.4954
70,90,94.4954
70,90,94.4954
70,90,94.4954
80,90,96.3165
80,90,96.3165
80,90,96.3165
80,100,98.9899
80,100,98.9899
80,100,98.9899
80,100,98.9899
90,100,98.9899
90,100,98.9899
90,100,98.9899
90,100,98.9899
90,100,98.9899
90,100,98.9899
90,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
100,100,98.9899
